id,account_name,address,city,province_state,postal_zip,country,latitude,longitude,naics,naics_description,sic_6,sic_6_description,website,census_tract,account_type,estimated_annual_revenue_of_business,n_employees
13222500,Baskin-Robbins,552 Danforth Ave,Toronto,ON,M4K1P8,Canada,43.678553,-79.347553,722515,Snack and Nonalcoholic Beverage Bars,581203,ICE CREAM PARLORS,,5350084,PROSPECT,"$500,000 - $999,999",10 - 19 employees
725218850,Popeyes Louisiana Kitchen,1370 Dundas St E,Mississauga,ON,L4Y4G4,Canada,43.608577,-79.584273,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350510,PROSPECT,"$500,000 - $999,999",10 - 19 employees
33636408,Red Lobster,1790 The Queensway,Etobicoke,ON,M9C5H5,Canada,43.61462,-79.558381,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350213.02,PROSPECT,"$5,000,000 - $9,999,999",100 - 249 employees
29722345,Second Cup,490 Lawrence Ave W,North York,ON,M6A1A1,Canada,43.719724,-79.431458,722515,Snack and Nonalcoholic Beverage Bars,581228,COFFEE SHOPS,,5350287.04,CUSTOMER,"$500,000 - $999,999",10 - 19 employees
52194115,Bramoso Gourmet Pizzeria,6169 Quinpool Rd,Halifax,NS,B3L4P8,Canada,44.646139,-63.595396,722511,Full-Service Restaurants,581208,RESTAURANTS,,2050011,PROSPECT,"$500,000 - $999,999",10 - 19 employees
38332268,Noodle King Chinese Food,3240 Dufferin St,North York,ON,M6A2T3,Canada,43.72004,-79.45622,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350286,PROSPECT,"$1,000 - $499,999",1 - 4 employees
61551982,Konkan Delite,3181 Wolfedale Rd,Mississauga,ON,L5C1V8,Canada,43.56727,-79.64022,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350520.01,PROSPECT,"$1,000 - $499,999",5 - 9 employees
24171985,Pumpernickel's,5700 Yonge St,North York,ON,M2M4K2,Canada,43.78069,-79.41607,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350318,CUSTOMER,"$1,000 - $499,999",5 - 9 employees
38569612,Tim Hortons,7030 Mclaughlin Rd,Mississauga,ON,L5W1W7,Canada,43.636661,-79.717892,722515,Snack and Nonalcoholic Beverage Bars,546105,DOUGHNUTS,,5350528.48,PROSPECT,"$500,000 - $999,999",10 - 19 employees
24658924,Restaurant Casa Greque Ste-Foy,3291 Ch Sainte-Foy,Quebec,QC,G1X3V2,Canada,46.77064,-71.31907,722511,Full-Service Restaurants,581208,RESTAURANTS,,4210114,PROSPECT,"$1,000,000 - $2,499,999",20 - 49 employees
